rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
rnb3Q1/pp1p3p/5kp1/2p5/2P1P3/2P2P1q/P3K2P/R1B3Nq w - - acn 26009; acs 0; bm Bg5+; ce 32756; dm 6; pv Bg5+ Kxg5 Nxh3+ Kh6 Qf8+ Kh5 Nf4+ Kg5 Rxh1 h6 h4#;
rnb2rk1/p5pp/5p2/3pN3/8/5Q2/P1q3PP/1R3R1K w - - acn 618743; acs 1; bm Qxd5+; ce 32756; dm 6; pv Qxd5+ Be6 Qxe6+ Kh8 Nf7+ Kg8 Nh6+ Kh8 Qg8+ Rxg8 Nf7#;
rnb2r2/ppqp3Q/2p2kp1/8/8/8/P4PPP/R3R1K1 w - - acn 391197; acs 1; bm Qe7+; ce 32756; dm 6; pv Qe7+ Kf5 Qxf8+ Kg5 Re4 Qxh2+ Kxh2 d6 Qf4+ Kh5 Qh4#;
rnb2r1k/ppp4p/3b4/8/3P2pN/1Q4P1/PPP1PqBK/RN5R b - - acn 1172676; acs 2; bm Rf3; ce 32756; dm 6; pv Rf3 Qxf3 gxf3 Rd1 fxg2 Nxg2 Bh3 Rg1 Qxg3+ Kh1 Qh2#;
rnb2r1k/pp2qppB/4p3/3pP3/2pP2Q1/2P2N2/P1P2PPP/R3K2R w KQ - acn 2227575; acs 3; bm Qh5; ce 32756; dm 6; pv Qh5 Qh4 Qxh4 Re8 Ng5 Re7 Bg6+ Kg8 Qh7+ Kf8 Qh8#;
rnb2r1k/1p2R3/p2q4/3P1pR1/2Bb2p1/3Q4/P1P2PP1/5K2 w - - acn 1510837; acs 3; bm Qxd4+; ce 32756; dm 6; pv Qxd4+ Rf6 Re6 Nd7 Rxd6 f4 Rxf6 Nxf6 Qxf6+ Kh7 Qg7#;
rnb2k1r/pp1nb1pp/1q2p3/1N1pp2Q/3p3P/3B2R1/PPPB1PP1/R3K1N1 w Q - acn 3810076; acs 8; bm Rxg7; ce 32756; dm 6; pv Rxg7 Kxg7 Bh6+ Kg8 Bg6 Qa5+ Nc3 Qxc3+ bxc3 hxg6 Qxg6#;
rnb2bnr/ppp2B1p/5qp1/7k/4P3/6QP/PPP2PP1/RNB1K1NR w KQ - acn 2794191; acs 5; bm Bf4 Kf1 Qe3; ce 32756; dm 6; pv Bf4 Bb4+ Nc3 Bxc3+ bxc3 Qxc3+ Qxc3 h6 Qf3+ Bg4 hxg4#;
rnb2bnr/ppp1p1pp/q1p1k3/8/B5P1/4P3/PPP2KPP/RNBQ2NR w - - acn 232479; acs 1; bm Bb3+; ce 32756; dm 6; pv Bb3+ Qc4 Bxc4+ Kf6 Qf3+ Kg6 Bf7+ Kh6 g5+ Kxg5 Qf4#;
rnb2bk1/pppp4/6B1/3p2Q1/3P4/8/PPPK1P1P/q7 w - - acn 173219; acs 0; bm Be4+; ce 32756; dm 6; pv Be4+ Bg7 Bxd5+ Kh7 Qf5+ Kh6 Bf7 Qc1+ Kxc1 d6 Qh5#;
rnb2b1r/p2pkp1p/8/1p2P1q1/2QP1N2/8/PP1B1KPP/n6R w - - acn 141483; acs 0; bm Nd5+; ce 32756; dm 6; pv Nd5+ Ke8 Qxc8+ Qd8 Nc7+ Ke7 Bb4+ d6 Bxd6+ Qxd6 Qe8#;
rnb2b1r/p1kpnN2/1p1Np2p/q1p4p/6PP/4P3/PPPP1P2/R1B1KB1R w KQ - acn 1327736; acs 2; bm Ne8+; ce 32756; dm 6; pv Ne8+ Kc6 Nd8+ Kd5 Bg2+ Kc4 b3+ Kb4 c3+ Kb5 Nc7#;
rnb2Rnr/pppp2pp/2k5/4Q3/2BqP3/8/PPP4p/RNB4K w - - acn 656980; acs 1; bm Qxd4; ce 32756; dm 6; pv Qxd4 Nf6 Bd5+ Nxd5 exd5+ Kb5 a4+ Ka5 Qc5+ b5 axb5#;
rnb1r1k1/ppppBp1p/1b1P1p2/6q1/6Q1/8/PP3PPP/R3R1K1 w - - acn 233577; acs 1; bm Bxf6; ce 32756; dm 6; pv Bxf6 Bxf2+ Kh1 Rxe1+ Rxe1 h6 Re8+ Kh7 Qe4+ Qg6 Rh8#;
rnb1qrk1/pp2pNb1/4n3/2pp3p/3P1PQ1/2PB4/PP6/R1B1K2R w KQ - acn 2127110; acs 4; bm Bh7+; ce 32756; dm 6; pv Bh7+ Kxh7 Rxh5+ Kg8 Rh8+ Kxf7 Qf5+ Bf6 Qh5+ Kg7 Qh7#;
rnb1qr2/pp1pb1pk/2p2pNp/5N1Q/2n1P3/7R/PB3PPP/R5K1 w - - acn 1732924; acs 4; bm Qxh6+; ce 32756; dm 6; pv Qxh6+ gxh6 Rxh6+ Kg8 Rh8+ Kf7 Rh7+ Kxg6 Rg7+ Kh5 g4#;
rnb1qb2/pp1pnppp/5p2/8/P7/8/1PPPPPPP/kNBQKBNR w - - acn 3249082; acs 5; bm b4; ce 32756; dm 6; pv b4 Nd5 Ba3 Qxe2+ Bxe2 Ne3 fxe3 Ka2 Bc4+ Ka1 Nc3#;
rnb1kbn1/p1p2pp1/rP6/Q2B3p/2PR3K/P1N2NPP/3P3P/B7 w - - acn 191050; acs 0; bm Bxf7+; ce 32756; dm 6; pv Bxf7+ Ke7 Re4+ Be6 Rxe6+ Kd7 Qd5+ Bd6 Ne5+ Kd8 Re8#;
rnb1kb2/pppp1p1q/8/3n4/8/5P2/PPPPP3/RNBQK2B b - - acn 5336978; acs 12; bm Qxh1+; ce 32756; dm 6; pv Qxh1+ Kf2 Qh2+ Kf1 Be7 e3 d6 f4 Bh3+ Ke1 Bh4#;
rnb1k3/2P1ppB1/1Np2P2/2P2Bp1/2rp4/2p3p1/qpP1P3/3RQ1K1 w - - acn 1356729; acs 3; bm Kg2; ce 32756; dm 6; pv Kg2 d3 exd3 Re4 dxe4 Nd7 Rxd7 exf6 Rd8+ Ke7 Bf8#;
rnb1k2r/pp1p1ppp/4p3/2p5/2PPKB2/1Q1BP3/P4qPP/R5NR b kq - acn 2087056; acs 4; bm Qxg2+; ce 32756; dm 6; pv Qxg2+ Nf3 Qg6+ Ke5 Qf6+ Kd6 Qe7+ Ke5 d6+ Ke4 f5#;
rnb1Rnk1/1pp2qbp/6p1/1p6/3PN3/BQ3N2/P4PPP/6K1 w - - acn 1115405; acs 3; bm Nf6+; ce 32756; dm 6; pv Nf6+ Bxf6 Rxf8+ Kg7 Qxf7+ Kh6 Qxf6 c6 Bc1+ Kh5 Qg5#;
rnb1Kbn1/ppppp1pr/8/7p/8/R4P2/PPPPP1P1/RNB1kBN1 b - - acn 3003783; acs 4; bm Nf6+ g5 g6; ce 32756; dm 6; pv Nf6+ Kxf8 g6 f4 d6 Nf3+ Kf2 Ne5 Nbd7+ Nxd7 Bxd7#;
rnQ3qr/pp2pk1p/2p2b2/8/3P1B2/8/PPP2PP1/2KR1B2 w - - acn 554789; acs 2; bm Bc4+; ce 32756; dm 6; pv Bc4+ e6 Qxe6+ Kg7 Bh6+ Kg6 Qg4+ Kxh6 Rh1+ Bh4 Rxh4#;
rnN3B1/P7/7p/4k1P1/4r1Pq/1K6/5B1p/8 b - - acn 247146; acs 0; bm Qh3+ Qxf2 h1=Q; ce 32756; dm 6; pv Qh3+ Be3 Qxe3+ Kb2 Rb4+ Bb3 Rxb3+ Kc2 Qd3+ Kc1 h1=Q#;
rnK3b1/3p1pp1/p1p5/7p/7B/1RN5/2P3R1/k1r5 w - - acn 1581127; acs 2; bm Bf6; ce 32756; dm 6; pv Bf6 gxf6 Rg3 Rd1 Rd3 Re1 Re3 Rf1 Re4 h4 Ra4#;
rnB5/2p1p3/3pq3/pR2rkbP/1P2bp2/5p2/8/K7 b - - acn 169259; acs 0; bm Nd7 Qxc8 Rxb5 axb4+; ce 32756; dm 6; pv axb4+ Kb2 Ra2+ Kc1 Ra1+ Kd2 Bh4 Bxe6+ Kf6 h6 Be1#;
rn6/pQ2n1k1/3Np3/8/3P4/6P1/PPP1K3/q7 w - - acn 147997; acs 0; bm Qxe7+; ce 32756; dm 6; pv Qxe7+ Kg6 Qxe6+ Kh7 Nf5 Qd1+ Kxd1 a6 Qh6+ Kg8 Qg7#;
rn6/R7/P6p/p4k2/4pp2/2KpP3/r1B5/6b1 b - - acn 74824; acs 0; bm Rxc2+; ce 32756; dm 6; pv Rxc2+ Kb3 Rxa7 Ka3 fxe3 Kb3 e2 Ka3 e1=Q Kb3 Qb4#;
rn6/B2b3p/3pp3/K6B/4kP2/8/1N1R1p2/1n2b3 b - - acn 82259; acs 0; bm f1=Q; ce 32756; dm 6; pv f1=Q Bg6+ hxg6 Nd3 Rxa7+ Kb6 Qg1+ Nf2+ Bxf2+ Rd4+ Bxd4#;
rn6/8/kp6/1p3B2/8/1NK5/8/8 w - - acn 38785; acs 0; bm Bc8+; ce 32756; dm 6; pv Bc8+ Ka7 Nd4 b4+ Kc4 b5+ Kxb5 b3 Ka5 Nc6+ Nxc6#;
rn6/5K1b/N1p5/b1p1p3/p1P1R3/1nkr4/2p5/4N3 b - - acn 282344; acs 1; bm Ra7+ Rd7+ c1=Q; ce 32756; dm 6; pv Rd7+ Kf6 Bd8+ Ke6 c1=Q Re3+ Qxe3 Nc2 Qh3+ Kxe5 Qf5#;
rn6/5BN1/7p/2p1B3/2p1kP1K/4p2p/4P2p/8 w - - acn 72226; acs 0; bm Nh5; ce 32756; dm 6; pv Nh5 h1=N Nf6+ Kf5 Ne8 Ra6 Ng7+ Ke4 Bh5 Nf2 Bf3#;
rn6/1R4K1/n1p3R1/2k1Pp2/1pP5/PP1p4/8/Qb2Nr2 w - - acn 655020; acs 1; bm Rd6; ce 32756; dm 6; pv Rd6 Rg1+ Kf7 Rg4 Qxb1 Rd4 Nxd3+ Rxd3 Qg1+ Rd4 Qxd4#;
rn5r/p4pk1/2p2N1R/3RP3/5P1p/Q6P/1n1p1P2/6K1 w - - acn 381061; acs 1; bm Qd6 Qe7; ce 32756; dm 6; pv Qd6 d1=Q+ Rxd1 Nd7 Nh5+ Kg8 Rxh8+ Kxh8 Qh6+ Kg8 Qg7#;
rn5r/p4pk1/2p2N1R/3RP3/5P1p/Q6P/1n1p1P2/6K1 w - - acn 376466; acs 1; bm Qd6 Qe7; ce 32756; dm 6; pv Qd6 d1=Q+ Rxd1 Nd7 Nh5+ Kg8 Rxh8+ Kxh8 Qh6+ Kg8 Qg7#;
rn5K/1P1P4/q1knB3/1r6/p2P3b/6p1/b7/8 b - - acn 523698; acs 1; bm Nxd7+ Qxb7 Rh5+ Rxb7; ce 32756; dm 6; pv Nxd7+ b8=N+ Raxb8+ Kh7 Nf8+ Kg7 Nxe6+ Kh7 Bb1+ Kh6 Nf7#;
rn5B/8/8/8/N1N5/3k4/2b4b/K2B3r b - - acn 66677; acs 0; bm Rxa4+ Rxd1+; ce 32756; dm 6; pv Rxd1+ Ka2 Rxa4+ Na3 Na6 Bg7 Bd6 Bh8 Rxa3+ Kb2 Rb1#;
rn4q1/pkpBpnr1/p1b3p1/P3b3/5P2/8/4P3/6K1 b - - acn 1157707; acs 2; bm Nxd7; ce 32756; dm 6; pv Nxd7 fxe5 Nfxe5 Kf1 Rf8+ Kg1 Ng4 e3 Qh8 e4 Qh2#;
rn4nk/pKp4b/p3R2P/2P1pQP1/2p3p1/2p5/2q4b/8 w - - acn 32963; acs 0; bm g6; ce 32756; dm 6; pv g6 Qg2+ c6 Qb2+ Kxa8 Qb7+ cxb7 Ne7 g7+ Kg8 Qf8#;
rn4n1/p2Q2pp/p1p1p1k1/2p1Pp2/8/b1PB1b2/P1P2BPP/RN2K1NR w - - acn 939437; acs 2; bm Qe8+; ce 32756; dm 6; pv Qe8+ Kh6 Be3+ f4 Bxf4+ g5 Qxg8 gxf4 h4 c4 Qg5#;
rn4kr/1p2p1b1/p3bnQp/qBp3N1/8/2N1B3/P1P3PP/1R3RK1 w - - acn 4192951; acs 8; bm Rxf6; ce 32756; dm 6; pv Rxf6 Nd7 Bxd7 Bc4 Be6+ Bxe6 Rf8+ Rxf8 Qxe6+ Rf7 Qxf7#;
rn4k1/p1q1brp1/2p1R3/1p3b1Q/3P3P/1BP5/P1P2P2/R1B3K1 w - - acn 747138; acs 2; bm Rh6; ce 32756; dm 6; pv Rh6 Qh2+ Kxh2 Bd6+ Rxd6 Na6 Qxf7+ Kh8 Rd7 g6 Qh7#;
rn4k1/1p3R2/3N3P/2p2p2/2P1bP2/1p6/q3P3/2KR4 w - - acn 2052; acs 0; bm Rg1+; ce 32756; dm 6; pv Rg1+ Bg2 Rxg2+ Kh8 Rh7+ Kxh7 Rg7+ Kxh6 Nxf5+ Kh5 Rg5#;
rn4k1/1p2p1br/p3NnQp/qBp5/8/2N1B3/P1P3PP/1R3RK1 w - - acn 11429940; acs 17; bm Bc4; ce 32756; dm 6; pv Bc4 Qxc3 Rxf6 Qxe3+ Kh1 Qe1+ Rxe1 exf6 Nf8+ Kh8 Qxh7#;
rn3rk1/p1p1q3/1p5Q/8/1n1P4/2N1PP2/PPB2P2/R3K3 w Q - acn 335428; acs 1; bm Bb3+; ce 32756; dm 6; pv Bb3+ Rf7 Ke2 Nd5 Rg1+ Rg7 Bxd5+ Kf8 Qh8+ Rg8 Rxg8#;
rn3rk1/6np/3q2p1/3P4/1pBB2P1/pPp2Q1P/P7/2R2RK1 w - - acn 81854; acs 0; bm Qxf8+; ce 32756; dm 6; pv Qxf8+ Qxf8 d6+ Qf7 Rxf7 Ne6 Rg7+ Kh8 Rxg6+ Ng7 Bxg7#;
rn3rk1/5ppp/p1bNpb2/4p3/4N3/1B3P2/PPP2P1P/2KR3R w - - acn 185815; acs 1; bm Nxf6+; ce 32756; dm 6; pv Nxf6+ gxf6 Rhg1+ Kh8 Nxf7+ Rxf7 Rd8+ Be8 Rxe8+ Rf8 Rxf8#;
rn3rk1/1pp1p1bp/3p1n2/5p2/N1b3b1/KB5q/PP1PPPP1/2BQ1BN1 b - - acn 1283430; acs 3; bm Rxa4+; ce 32756; dm 6; pv Rxa4+ Kxa4 b5+ Ka5 Nc6+ Ka6 Rb8 Bxc4+ Kh8 g3 Rb6#;
rn3r2/pbppq1pk/1p2pb2/4N3/3PN3/3B4/PPP2PPP/R3K2R w KQ - acn 433067; acs 1; bm Nxf6+; ce 32756; dm 6; pv Nxf6+ Kh6 Neg4+ Kg5 h4+ Kf4 g3+ Kf3 Kf1 g6 Nh2#;
rn3r1k/3R3b/2p1Q1pp/1pq1p2N/p6P/8/PPP2PP1/3R2K1 w - - acn 417828; acs 1; bm Rf7; ce 32756; dm 6; pv Rf7 Qxf2+ Rxf2 Nd7 Qe7 gxh5 Rxd7 Rf7 Qxf7 e4 Qxh7#;
rn3qk1/1b5p/p3Prp1/5B2/1p3b2/2B2N1Q/PPP4P/1K1R2R1 w - - acn 2024345; acs 5; bm Bxg6; ce 32756; dm 6; pv Bxg6 h6 Be4+ Bg5 Rxg5+ Qg7 Rd8+ Rf8 Rxg7+ Kh8 Rxf8#;
rn3nN1/2p1NP2/pP3P2/4p2k/b6P/6K1/4P3/1B6 w - - acn 487474; acs 1; bm Be4; ce 32756; dm 6; pv Be4 Bc6 bxc7 a5 Bf3+ Bxf3 c8=Q Nfd7 f8=Q e4 Qh6#;
rn3knr/1p5p/1qp2p2/p2b1NpB/5p2/2B5/PP4PP/2RQ1R1K w - - acn 1111295; acs 2; bm Qxd5; ce 32756; dm 6; pv Qxd5 Qc7 Qc5+ Ne7 Bxf6 h6 Bxe7+ Qxe7 Qxe7+ Kg8 Qf7#;
rn3bnr/pp2pQpp/1kp5/2N5/2B2B2/8/P1P1KPPP/7q w - - acn 1186822; acs 2; bm Na4+; ce 32756; dm 6; pv Na4+ Ka5 Bd2+ Kxa4 Bd3 Qf1+ Kxf1 e6 Qxb7 h6 Qb3#;
rn3b1r/ppp5/6k1/3qB2p/3Pn1pP/3B4/PPP3P1/5QK1 w - - acn 141098; acs 0; bm Qf6+; ce 32756; dm 6; pv Qf6+ Kh7 Qxh8+ Kg6 Qf6+ Kh7 Qxf8 Qxd4+ Bxd4 g3 Bxe4#;
rn3b1r/pp4pp/4k3/1Npn3Q/8/5NP1/P2B1K1P/7q w - - acn 298851; acs 1; bm Qe5+; ce 32756; dm 6; pv Qe5+ Kd7 Qxd5+ Bd6 Qxd6+ Ke8 Nc7+ Kf7 Ne5+ Kg8 Qd8#;
rn2r1k1/pp3Rpp/2p5/6Nb/2P1p2Q/8/P1q3PP/R1B4K w - - acn 227023; acs 0; bm Qxh5; ce 32756; dm 6; pv Qxh5 Qd1+ Qxd1 Nd7 Qxd7 h6 Rxg7+ Kh8 Rh7+ Kg8 Qg7#;
rn2q3/pb2P1kp/np2Qpp1/3p4/3p4/P1P2PN1/6PP/1RB2RK1 w - - acn 6806993; acs 15; bm Bh6+; ce 32756; dm 6; pv Bh6+ Kxh6 Qxf6 Bc8 h4 Qh8 Qxh8 Nd7 Qf8+ Nxf8 exf8=Q#;
rn2kbnr/pp2pppp/2p5/8/2B1N3/4BQ2/P1P1KPPP/7q w kq - acn 549897; acs 1; bm Qxf7+; ce 32756; dm 6; pv Qxf7+ Kd8 Qxf8+ Kd7 Nc5+ Kc7 Ne6+ Kd6 Bf4+ Kd7 Nc5#;
rn2kb1r/pR5p/2p1pp2/8/3P4/5b2/P2B1PPP/4R1K1 w kq - acn 491352; acs 1; bm Rxe6+; ce 32756; dm 6; pv Rxe6+ Be7 Rexe7+ Kd8 Ba5+ Kc8 Rec7+ Kd8 Rd7+ Ke8 Rd8#;
rn2kb1r/pQp1pppp/5n2/4Nb2/8/8/PPPR2PP/2KN3q w kq - acn 1581281; acs 2; bm Qxa8; ce 32756; dm 6; pv Qxa8 Nfd7 Rxd7 Qxd1+ Rxd1 Bc8 Qxb8 e6 Qxc8+ Ke7 Qd8#;
rn2k3/ppq3rp/5Rp1/3Q1b2/3Pp3/1B2B3/PP4PP/5RK1 w - - acn 4280567; acs 7; bm R1xf5; ce 32756; dm 6; pv R1xf5 Qc1+ Bxc1 Nd7 Re6+ Re7 Rxe7+ Kxe7 Rf7+ Ke8 Qxd7#;
rn2k3/1p6/1K6/8/b7/8/P7/8 b - - acn 499605; acs 1; bm Bc6 Nd7+; ce 32756; dm 6; pv Nd7+ Kxb7 Rb8+ Kc7 Rb6 a3 Bc6 a4 Ba8 a5 Rc6#;
rn2k2r/ppq1b1pp/2p5/4N1B1/3P2P1/1B5P/PP2QPK1/4R3 w - - acn 4049421; acs 9; bm Nf7; ce 32756; dm 6; pv Nf7 g6 Qxe7+ Qxe7 Rxe7+ Kf8 Nd8 h6 Ne6+ Kg8 Rg7#;
rn2k2r/ppp3pp/3p1n2/5QB1/2BPP3/2N5/PPP4K/q7 w - - acn 947284; acs 2; bm Qc8+; ce 32756; dm 6; pv Qc8+ Ke7 Nd5+ Kf7 Nxf6+ d5 Bxd5+ Ke7 Ne8+ Kf8 Nxc7#;
rn2k2r/ppp2p1p/5n2/3P4/3bq2P/6K1/PPPP2P1/RNBQ1B1R b kq - acn 2258892; acs 5; bm Be5+; ce 32756; dm 6; pv Be5+ Kh3 Qf5+ g4 Qf2 Bb5+ Kf8 Qe1 Qf3+ Qg3 Qxg3#;
rn2k2r/pp1b1ppp/4NB2/8/4B3/8/P1PQKPPP/1q6 w kq - acn 151832; acs 0; bm Nxg7+; ce 32756; dm 6; pv Nxg7+ Kf8 Ne6+ fxe6 Qd6+ Kg8 Qg3+ Kf8 Qg7+ Ke8 Qe7#;
rn2k1r1/ppp2p1p/5n2/3P4/3bq2P/7K/PPPP2P1/RNBQ1B1R b q - acn 2730098; acs 5; bm Bf2 Qf5+; ce 32756; dm 6; pv Qf5+ g4 Nxg4 Qe1+ Ne3+ Kh2 Be5+ Qg3 Bxg3+ Kg1 Qxf1#;
rn1qr2Q/pbpp1kp1/1p2pbN1/8/3P4/2N5/PPP3PP/R4RK1 w - - acn 960718; acs 3; bm Ne5+; ce 32756; dm 6; pv Ne5+ Ke7 Qxg7+ Bxg7 Rf7+ Kd6 Nb5+ Kd5 c4+ Ke4 Re1#;
rn1qr1k1/2pb1p2/p4bp1/3Pp3/2p1QP2/2N1B3/PPBK4/6RR w - - acn 1343939; acs 4; bm Rxg6+; ce 32756; dm 6; pv Rxg6+ Kf8 Bc5+ Qe7 Rh8+ Bxh8 Rg8+ Kxg8 Qh7+ Kf8 Qxh8#;
rn1qnr2/1p4b1/p3b1k1/3N1pP1/5B2/P4B2/1P6/RN4KR w - - acn 42202; acs 0; bm Bh5+; ce 32756; dm 6; pv Bh5+ Kh7 Bf7+ Bh6 g6+ Kg7 Bxh6+ Kh8 Bg5+ Kg7 Rh7#;
rn1qnk1r/p1ppp1bP/1p4QB/8/3P4/3B1N2/PPP2P1P/RN2K2b w Q - acn 5521960; acs 10; bm Qf5+; ce 32756; dm 6; pv Qf5+ Nf6 Bxg7+ Kxg7 Qg5+ Kf7 Bg6+ Kg7 Bh5+ Kxh7 Qg6#;
rn1qk1nr/ppppbppp/8/8/8/8/8/4K3 b - - acn 1447963; acs 3; bm Bb4+; ce 32756; dm 6; pv Bb4+ Kf1 Qf6+ Kg1 Qf3 Kh2 Bd6+ Kg1 Qe2 Kh1 Qf1#;
rn1q4/pp1Qn2p/3ppp2/PP6/Rb1k4/B5rb/2PPPPRP/1N2N1K1 w - - acn 1928742; acs 4; bm Rxb4+ Rxg3; ce 32756; dm 6; pv Rxb4+ Ke5 Rxg3 f5 Bb2+ Kd5 c4+ Ke4 f3+ Kf4 e3#;
rn1q4/p1p3p1/1p1p1kB1/3P4/2P1Q3/4b1Pb/PP5P/R6K w - - acn 193868; acs 0; bm Rf1+; ce 32756; dm 6; pv Rf1+ Bf4 Rxf4+ Kg5 Bf7 Bg2+ Kxg2 Qf6 Rf5+ Qxf5 Qh4#;
rn1q2r1/pp4bQ/2pkb3/3pRB2/3P4/2N5/PPP3P1/5RK1 w - - acn 607113; acs 2; bm Nb5+; ce 32756; dm 6; pv Nb5+ cxb5 Rxe6+ Kc7 Qh2+ Be5 Qxe5+ Qd6 Qxd6+ Kc8 Re8#;
rn1q1rk1/pp3p1p/2p5/3p3P/5Q2/2NP3R/PPP3P1/4R1K1 w - - acn 2553014; acs 5; bm Rg3+; ce 32756; dm 6; pv Rg3+ Kh8 Qh6 Qb6+ Kh1 Qg1+ Rxg1 Rg8 Qf6+ Rg7 Qxg7#;
rn1q1rk1/p1ppbpp1/1p2pn2/6N1/1P6/P2BP3/1BPP1P1P/RN1QK2b w Q - acn 1935779; acs 5; bm Bxf6; ce 32756; dm 6; pv Bxf6 Bf3 Qxf3 Bxb4 Qh3 Bxd2+ Nxd2 Re8 Qh7+ Kf8 Qh8#;
rn1q1r2/pppbb1pk/4p3/3pP1p1/3P3P/2N5/PPP2PP1/R2QK2R w KQ - acn 397244; acs 1; bm hxg5+; ce 32756; dm 6; pv hxg5+ Kg8 Rh8+ Kxh8 Qh5+ Kg8 g6 Re8 Qh7+ Kf8 Qh8#;
rn1q1r2/pb6/1p4p1/2pp1pk1/3P4/4PQN1/PP3PP1/R3K2R w KQ - acn 1902740; acs 4; bm Qf4+; ce 32756; dm 6; pv Qf4+ Kf6 Qe5+ Kg5 Rh5+ gxh5 Qg7+ Kh4 Nxf5+ Rxf5 Qg3#;
rn1q1r2/pb2pp2/1p3n1k/3pN3/3P4/2NBPQ2/PP4P1/R3K3 w Q - acn 5546182; acs 10; bm Qf4+; ce 32756; dm 6; pv Qf4+ Kg7 Qg5+ Kh8 Ke2 Nh7 Rh1 f5 Qg6 f4 Rxh7#;
rn1q1r1k/pbp4B/1p1pp1Q1/6p1/3P4/2P5/P1P3PP/R4RK1 w - - acn 722145; acs 1; bm Qh6; ce 32756; dm 6; pv Qh6 Rf6 Bg6+ Kg8 Qh7+ Kf8 Qh8+ Ke7 Qg7+ Rf7 Qxf7#;
rn1k3r/5ppp/3Pp3/1B2Pb2/1q6/8/P4PPP/2RQ1RK1 w - - acn 3240393; acs 5; bm Rc8+; ce 32756; dm 6; pv Rc8+ Kxc8 Qc1+ Bc2 Qxc2+ Qc5 Qxc5+ Nc6 Qxc6+ Kd8 Qxa8#;
rn1Q4/pp1b1pkp/5p2/8/3p1BqN/3B2P1/PPP4K/4R3 w - - acn 4596858; acs 7; bm Bh6+; ce 32756; dm 6; pv Bh6+ Kxh6 Qxf6+ Qg6 Nxg6 fxg6 Re4 Bg4 Rxg4 b6 Rh4#;
rn1B4/pK6/1n1Np3/k2P4/p1P5/P2p1p2/2p3N1/2rb4 w - - acn 38934; acs 0; bm Bf6; ce 32756; dm 6; pv Bf6 Nxd5 Bd8+ Nb6 Bg5 Nxc4 Bd8+ Nb6 Ne3 f2 Nec4#;
rkr5/3n4/1p2p3/NP4p1/3PPn2/QN1B1Pq1/1PP5/R6K w - - acn 2899; acs 0; bm Nc6+; ce 32756; dm 6; pv Nc6+ Rxc6 Qxa8+ Kc7 Ra7+ Kd6 Qxc6+ Ke7 Rxd7+ Ke8 Qc8#;
rkbB1bnr/p2pp1pp/5p2/Np6/4BP2/3P1Q2/PPP3PP/KR4NR w - - acn 61218184; acs 95; bm d4; ce 32756; dm 6; pv d4 b4 Qb3 Bb7 Bxb7 h6 Ba6 e6 Qf3 h5 Qb7#;
rkb4R/3R2q1/pBn1p3/1pb1P3/6P1/4Q3/PPP5/1K6 w - - acn 2817374; acs 5; bm Bc7+; ce 32756; dm 6; pv Bc7+ Kb7 Qxc5 Rb8 Qb6+ Ka8 Qxc6+ Rb7 Rxc8+ Ka7 Bb6#;
rk6/bp2p3/1p1Pb3/1K2B3/2r5/8/8/8 b - - acn 86361; acs 0; bm exd6; ce 32756; dm 6; pv exd6 Bxd6+ Kc8 Bc5 Rxc5+ Kb4 Rc1 Ka4 Rb1 Ka3 Bb8#;
rk6/b2K4/8/8/8/8/p1P5/8 b - - acn 696152; acs 1; bm Kb7 a1=Q; ce 32756; dm 6; pv a1=Q Kd6 Qd1+ Ke6 Qf3 c3 Bc5 c4 Ra7 Ke5 Re7#;
rk6/3p3R/6p1/4Nq2/1PQ2P2/1KP1P3/3r4/7R w - - acn 34989; acs 0; bm Qb5+; ce 32756; dm 6; pv Qb5+ Kc8 Qc5+ Kb7 Qc6+ Ka7 Ra1+ Ra2 Rxa2+ Kb8 Rxa8#;
rk6/1pp1q3/5p2/4bQp1/3N4/2P3P1/6PP/5RK1 w - - acn 23658; acs 0; bm Nc6+; ce 32756; dm 6; pv Nc6+ bxc6 Rb1+ Qb4 Rxb4+ Ka7 Qf2+ Bd4 cxd4 g4 Qa2#;
rk6/1P3R2/8/8/8/6p1/1b3BK1/8 w - - acn 104062; acs 0; bm Bxg3+; ce 32756; dm 6; pv Bxg3+ Be5 Bxe5+ Ka7 b8=Q+ Ka6 Qb7+ Ka5 Bc3+ Ka4 Qb4#;
rk4r1/1p2Qp1p/p3pB2/3b4/8/4R3/P1PKBq2/8 w - - acn 309669; acs 1; bm Qd6+; ce 32756; dm 6; pv Qd6+ Kc8 Rc3+ Bc6 Rxc6+ bxc6 Qxc6+ Kb8 Be5+ Ka7 Qxa6#;
rk4n1/p3p3/p3Pp1p/P1R2P1P/1K4p1/6P1/4p3/4B2B w - - acn 114249; acs 0; bm Bc6; ce 32756; dm 6; pv Bc6 Kc8 Be4+ Kb8 Rc6 Kb7 Rc3+ Kb8 Bd2 e1=Q Bf4#;
