rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
rn3K2/p2pp1B1/p1p1k1N1/2P1P1p1/6p1/3p1P2/8/1BRR4 w - - acn 6148404; acs 14; bm Ba2+ Kg8; ce 32754; dm 7; pv Ba2+ d5 exd6ep+ Kd7 dxe7 a5 e8=Q+ Kc7 Be5+ Kb7 Rb1+ Ka6 Qc8#;
rn2rb1k/4pp1P/p2p4/3q1pB1/1p1P4/2p2P2/PPP4Q/1K1R1B1R w - - acn 6776472; acs 12; bm Bf6+; ce 32754; dm 7; pv Bf6+ exf6 Rg1 Qxa2+ Kxa2 b3+ cxb3 Bg7 Qg2 Bh6 Qg8+ Rxg8 hxg8=Q#;
rn2r1k1/2q1bp1p/2p2Bp1/pp2P2P/7Q/2PR1N2/PPP3P1/2KR4 w - - acn 48661187; acs 105; bm hxg6; ce 32754; dm 7; pv hxg6 h6 gxf7+ Kxf7 Qh5+ Ke6 Nd4+ Kd5 e6+ Qe5 Qxe5+ Kc4 b3#;
rn2k3/p1pb3p/8/1BqPP3/6pP/2P3P1/P1P1Q2K/5R2 w - - acn 6682615; acs 16; bm Qxg4; ce 32754; dm 7; pv Qxg4 Qxd5 Qh5+ Ke7 Qxh7+ Ke8 Qh8+ Qg8 Qxg8+ Ke7 Rf8 c6 Qf7#;
rn2k2r/ppp1qp2/5n2/3P4/3b1p1P/7K/PPPP2P1/RNBQ1B1R b kq - acn 17510069; acs 46; bm Rxh4+; ce 32754; dm 7; pv Rxh4+ Kxh4 Ne4+ Kg4 Nf2+ Kh5 Qe5+ Kh6 Qf6+ Kh5 Qg6+ Kh4 Bf6#;
rn2Q3/1b1p2rp/p4k2/2pP4/1qB4b/2N5/PP3PPP/3RR1K1 w - - acn 4308439; acs 12; bm Ne4+; ce 32754; dm 7; pv Ne4+ Kf5 Nd6+ Kf6 Re6+ dxe6 Qxe6+ Kg5 f4+ Kh5 Be2+ Rg4 Bxg4#;
rn1qr3/p1p2Q2/bp2p1pk/6b1/3PN3/2PB2P1/PP2KP2/R7 w - - acn 2421713; acs 6; bm Rh1+; ce 32754; dm 7; pv Rh1+ Bh4 Nf6 Bxd3+ Ke3 Qxd4+ cxd4 Be2 Rxh4+ Bh5 Ng4+ Kg5 f4#;
rn1qr1k1/pbpp2p1/1p2pbN1/7Q/3P4/2N5/PPP3PP/R4RK1 w - - acn 18338291; acs 43; bm Qh8+; ce 32754; dm 7; pv Qh8+ Kf7 Ne5+ Ke7 Qxg7+ Bxg7 Rf7+ Kd6 Nb5+ Kd5 c4+ Ke4 Re1#;
rn1q1rk1/pppbb1pp/4p3/3pP1p1/3P3P/2NB4/PPP2PP1/R2QK2R w KQ - acn 2590420; acs 8; bm Bxh7+; ce 32754; dm 7; pv Bxh7+ Kxh7 hxg5+ Kg8 Rh8+ Kxh8 Qh5+ Kg8 g6 Re8 Qh7+ Kf8 Qh8#;
rn1q1rk1/pppbb1pp/4p3/3pP1p1/3P3P/2NB4/PPP2PP1/R2QK2R w - - acn 1505429; acs 6; bm Bxh7+; ce 32754; dm 7; pv Bxh7+ Kxh7 hxg5+ Kg8 Rh8+ Kxh8 Qh5+ Kg8 g6 Re8 Qh7+ Kf8 Qh8#;
rn1q1r2/ppp2pk1/5n1p/3P4/2P3b1/1P1B1R2/PB4PP/R2Q2K1 w - - acn 7442326; acs 26; bm Rxf6; ce 32754; dm 7; pv Rxf6 Rg8 Qxg4+ Kf8 Rxf7+ Kxf7 Rf1+ Qf6 Qe6+ Kf8 Rxf6+ Kg7 Rf7#;
rn1q1r2/pb2pp2/1p3n2/3pN1k1/3P4/2NBP3/PP4P1/R2QK3 w Q - acn 15137397; acs 41; bm Qf3; ce 32754; dm 7; pv Qf3 Kh6 Qf4+ Kg7 Qg5+ Kh8 Ke2 Nh7 Rh1 f5 Qg6 f4 Rxh7#;
rn1q1k2/pb2b3/1p4Q1/5P2/3P4/4n3/PP4PP/4RRK1 w - - acn 3807616; acs 9; bm f6; ce 32754; dm 7; pv f6 Bxf6 Rxf6+ Qxf6 Qxf6+ Kg8 Rxe3 Be4 Rg3+ Bg6 Rxg6+ Kh7 Qg7#;
rn1k3r/p5pp/1qp1R3/3p2p1/1P4Q1/8/P1P2PPP/4R1K1 w - - acn 2893153; acs 7; bm Rd6+; ce 32754; dm 7; pv Rd6+ Kc7 Re7+ Nd7 Rdxd7+ Kb8 Qg3+ Kc8 Rc7+ Kb8 Rxc6+ Qc7 Qxc7#;
rn1k1r2/pp2R3/2pP1pqp/6p1/2BQ4/2P1B3/PP4P1/6K1 w - - acn 63156453; acs 95; bm Qb6+; ce 32754; dm 7; pv Qb6+ axb6 Bxb6+ Kc8 Rc7+ Kd8 Rf7+ Kc8 Be6+ Nd7 Rxf8+ Qe8 Rxe8#;
rkrR1q2/qqq1Q1Rq/nnQbN2Q/Qq2N3/3n2Q1/1Q1Q3b/2q3BB/Q6K w - - acn 5065119; acs 16; bm Qexc7+; ce 32754; dm 7; pv Qexc7+ Bxc7 Nd7+ Nxd7 Qaxc7+ Qxc7 Qdxb5+ Nxb5 Qcxb5+ Qab6 Qxb6+ Nxb6 Qxb6#;
rkr5/p5p1/Pp4Kp/8/3B4/1B6/8/8 w - - acn 170661; acs 1; bm Be5+; ce 32754; dm 7; pv Be5+ Rc7 Be6 h5 Bd7 h4 Kf7 h3 Ke7 h2 Kd8 h1=Q Bxc7#;
rkq4r/p1n2ppp/1p1B1n2/QNp5/2P5/6P1/PP3PBP/4R1K1 w - - acn 22528850; acs 55; bm Nxc7; ce 32754; dm 7; pv Nxc7 Ne4 Na6+ Kb7 Bxe4+ Qc6 Qb5 Rac8 Nxc5+ Ka8 Bxc6+ Rxc6 Qxc6#;
rkb4r/pp3Npp/3b4/1Nq3B1/2Bp4/6Q1/PP3PPP/2K1R3 w - - acn 10981379; acs 23; bm Nfxd6; ce 32754; dm 7; pv Nfxd6 Qxg5+ Qxg5 a5 Nxc8 Ra6 Qe5+ Ka8 Nb6+ Rxb6 Qe8+ Rxe8 Rxe8#;
rkb4R/4b1q1/pBn1p3/1p2P3/6P1/4Q3/PPP5/1K1R4 w - - acn 31548735; acs 66; bm Rd7; ce 32754; dm 7; pv Rd7 Bc5 Bc7+ Kb7 Qxc5 Rb8 Qb6+ Ka8 Qxc6+ Rb7 Rxc8+ Ka7 Bb6#;
rkb2b1r/pp3Npp/3N4/2q3B1/2Bp4/6Q1/PP3PPP/2K1R3 w - - acn 56468831; acs 129; bm Ne8+; ce 32754; dm 7; pv Ne8+ Bd6 Nfxd6 Qxg5+ Qxg5 d3 Bxd3 h6 Qe5 b6 Nb7+ Kxb7 Qc7#;
rk6/p3N2p/P2Pp3/4P3/4K3/8/7P/8 w - - acn 153630; acs 0; bm Kf4; ce 32754; dm 7; pv Kf4 h6 Kg4 h5+ Kg5 h4 Kf6 h3 Nc6+ Kc8 Ke7 Rb8 Nxa7#;
rk6/R7/2ppBNpp/8/qp3P2/7P/PP3B2/n5K1 w - - acn 1549427; acs 4; bm Nd7+; ce 32754; dm 7; pv Nd7+ Kc8 Nc5+ Kd8 Rd7+ Kc8 Rf7+ Kd8 Nb7+ Ke8 Nxd6+ Kd8 Bb6#;
rk5r/pppq1ppp/2R1b3/1B1pP3/Q7/B7/P4PPP/2R3K1 w - - acn 145019647; acs 264; bm Ba6 Rxc7; ce 32754; dm 7; pv Ba6 d4 Rxc7 Qxc7 Bd6 Qxd6 exd6 h6 Qb4 b6 d7 h5 Qd6#;
rk3q1r/pp3Qpp/1bbP4/P7/5B2/3pp3/P5PP/2R4K w - - acn 906824; acs 2; bm d7+; ce 32754; dm 7; pv d7+ Bc7 Rxc6 a6 d8=Q+ Qxd8 Bxc7+ Qxc7 Qxc7+ Ka7 Rxa6+ Kxa6 Qb6#;
rk3n2/p1ppR3/1p6/3N4/7b/1PPQ1Br1/5q2/1K6 w - - acn 160758; acs 0; bm Re8+; ce 32754; dm 7; pv Re8+ Bd8 Rxd8+ Kb7 Nb4+ c6 Rxd7+ Kc8 Rd8+ Kc7 Qd6+ Kb7 Bxc6#;
rk3n2/p1ppR3/1p5b/3N4/8/1PPQ1Br1/5q2/1K6 w - - acn 144978; acs 0; bm Re8+; ce 32754; dm 7; pv Re8+ Kb7 Qa6+ Kxa6 Nxc7+ Ka5 b4+ Ka4 Bd1+ Qc2+ Bxc2+ Ka3 Nb5#;
rk2r3/1bp2ppp/p4q2/1PN5/3npn2/N5PB/1PP4P/R2Q1KBR b - - acn 535741; acs 2; bm Nd3+; ce 32754; dm 7; pv Nd3+ Bf5 Qxf5+ Kg2 e3+ Nxb7 Ne1+ Qxe1 Qf3+ Kh3 Re5 c3 Rh5#;
rk1r4/2p2p2/1PP5/pQ1p2pp/1b1p4/8/P4PPP/4R1K1 w - - acn 16632615; acs 35; bm Qxd5; ce 32754; dm 7; pv Qxd5 Bd6 Qxf7 Ra6 bxc7+ Bxc7 Rb1+ Rb6 Rxb6+ Kc8 Qf5+ Rd7 Qxd7#;
rk1q2n1/n1p5/P2P4/2pK3p/Qp2R1p1/8/8/3B3r w - - acn 62071; acs 0; bm Rxb4+; ce 32754; dm 7; pv Rxb4+ Kc8 Rb8+ Rxb8 Bxg4+ hxg4 Qxg4+ Qd7 Qxg8+ Qd8 d7+ Kxd7 Qe6#;
rb6/p2KBp2/p4p2/3pk3/1p1N1pnP/1NRp1B1n/8/r7 w - - acn 7520331; acs 25; bm Rc5; ce 32754; dm 7; pv Rc5 Ne3 Rc6 Ng4 Re6+ fxe6 Bc5 d2 Nc6+ Kf5 Ne7+ Ke5 Bd4#;
rb4n1/p1kBpN2/p2rPp1p/P2p1P1P/2pP4/2P5/7B/1RK5 w - - acn 2641584; acs 7; bm Kb2; ce 32754; dm 7; pv Kb2 Kb7 Ka3+ Kc7 Kb4 Kb7 Kc5+ Kc7 Rb6 axb6+ axb6+ Kb7 Nd8#;
rb4R1/8/1pr5/p1PbP3/Pp2p3/3k3P/3P4/1N1K4 b - - acn 2154699; acs 5; bm Bxg8; ce 32754; dm 7; pv Bxg8 e6 Bxe6 h4 Be5 Na3 Bb3+ Nc2 Bxc2+ Ke1 Rf6 h5 Bg3#;
rb1R4/r1p1Kp2/p7/P1k5/P2N4/R4n2/8/8 w - - acn 753106; acs 3; bm Nc6; ce 32754; dm 7; pv Nc6 Ne5 Rc3+ Nc4 Rd4 Kxc6 Rcxc4+ Kb7 Rb4+ Kc6 Kxf7 Rb7 Rbc4#;
rb1N4/k1p5/p7/p1P5/P1P5/2K5/8/8 w - - acn 52651; acs 0; bm c6; ce 32754; dm 7; pv c6 Kb6 Kd4 Ka7 Nf7 Kb6 Ne5 Ka7 Ng6 Kb6 Ne7 Ba7 c5#;
rR1bB3/8/p2B4/2NkP3/8/1PPp2p1/2p1p1p1/Kb5n w - - acn 425871; acs 1; bm Bh5; ce 32754; dm 7; pv Bh5 e1=N Bg6 Nf2 Bf7+ Kc6 Be8+ Kd5 Rb4 Nf3 Rd4+ Nxd4 c4#;
rQ1Q1rnk/q4qbp/3nQqbB/q1Q1NnNn/5QQ1/b2Q4/1QB3Q1/1K1R3R w - - acn 521560291; acs 1405; bm Ngxf7+; ce 32754; dm 7; pv Ngxf7+ Qaxf7 Bxg7+ Q7xg7 Qxf8 Nfe7 Nxg6+ Qgxg6 Q4xf6+ Ng7 Rxh7+ Qxh7 Qxh7#;
rBb5/P2p4/PK1P4/1B1pp3/2prn3/1Rnk1p2/3p1p1p/2bB1N1N w - - acn 1641387; acs 5; bm Ka5; ce 32754; dm 7; pv Ka5 Bb2 Kb4 Ba1 Ka3 Bb7 axb7 Bb2+ Kxb2 Rxb8 Rxc3+ Nxc3 Nxf2#;
rB6/1b3pq1/2k1pn2/npbr4/2R1BP2/5Q2/8/K1R5 b - - acn 1083775; acs 4; bm Nxc4+ Nxe4+; ce 32754; dm 7; pv Nxe4+ R4c3 Nc4+ Ba7 Rxa7+ Kb1 Ned2+ Kc2 Ra2+ Kd1 Nxf3+ Rd3 Ne3#;
rB5k/p2Q3p/1p5N/3q1Ppn/1nb4N/7P/PPP3PK/8 w - - acn 4559436; acs 10; bm Qe8+; ce 32754; dm 7; pv Qe8+ Qg8 Qxg8+ Bxg8 Be5+ Ng7 f6 Ne8 f7+ Ng7 fxg8=Q+ Rxg8 Nf7#;
rB5K/8/p1P4b/1R1n4/1Ppkp3/2N5/4n3/7r b - - acn 1357449; acs 3; bm Nexc3 Nf6 Rxb8+; ce 32754; dm 7; pv Rxb8+ Rxb8 Ne7 Nxe2+ Ke5 Rb5+ axb5 Ng3 Rh3 c7 Bf8+ Nh5 Rxh5#;
rB1Kn3/p1NPPPN1/p2k1p2/P4p2/5P2/1P1n4/2B5/8 w - - acn 1212837; acs 3; bm Kxe8; ce 32754; dm 7; pv Kxe8 Rxb8+ d8=Q+ Kc6 f8=Q Nb4 Qxf6+ Kb7 Nxf5 Rxd8+ exd8=Q Na2 Qxa6#;
r7/r1p3BB/1pR1N3/b1pkN1p1/8/pp4K1/1n3P2/8 w - - acn 4920700; acs 13; bm f3; ce 32754; dm 7; pv f3 Be1+ Kg2 Ra4 Nxc7+ Kd4 Ng4+ Kc4 Ne3+ Kb4 Rxb6+ Ka5 Rb5#;
r7/ppp1b2Q/2n4p/3k4/5P2/2K5/PPPN4/q5B1 w - - acn 229701; acs 1; bm Qf7+; ce 32754; dm 7; pv Qf7+ Kd6 Ne4+ Kd7 Nc5+ Kc8 Qf5+ Kb8 Nd7+ Kc8 Nb6+ Kd8 Qd7#;
r7/pp3pQ1/n5p1/q1pP1b2/8/P1P1k3/4B1PP/5RK1 w - - acn 5210180; acs 11; bm Bc4; ce 32754; dm 7; pv Bc4 Kd2 Rf2+ Kd1 Qh6 g5 Qxg5 Qxc3 Rf1+ Qe1 Rxe1+ Kxe1 Qc1#;
r7/pp3p2/n5p1/q1pPQb2/8/P1P5/3kB1PP/5RK1 w - - acn 10396526; acs 27; bm Rf2; ce 32754; dm 7; pv Rf2 Bc2 Bd1+ Kc1 Qf4+ Kb1 Bxc2+ Kb2 Ba4+ Kb1 Qe4+ Kc1 Qe1#;
r7/pp3Pp1/2q3nr/2kN4/8/3Q4/PPP5/1K1R1R2 w - - acn 70146481; acs 165; bm Qa3+ Qd4+ Qe3+ Rf5; ce 32754; dm 7; pv Qe3+ Kb5 Nc7+ Ka5 Rf5+ b5 b4+ Kxb4 Rxb5+ Qxb5 Qb3+ Kc5 Qxb5#;
r7/pp3Pp1/2q3n1/k2N4/3Q3r/1R6/PPP5/1K1R4 w - - acn 9670235; acs 19; bm Ra3+; ce 32754; dm 7; pv Ra3+ Kb5 Nc3+ Qxc3 Qxc3 Rc4 Rd5+ Kb6 Rb3+ Rb4 Rd6+ Kb5 Qxb4#;
r7/pp3Pp1/2q3n1/1k1N4/3Q3r/5R2/PPP5/1K1R4 w - - acn 6297957; acs 14; bm Nc7+; ce 32754; dm 7; pv Nc7+ Qxc7 Qd5+ Qc5 Qxb7+ Qb6 Rd5+ Kb4 c3+ Kc4 b3+ Qxb3+ axb3#;
r7/pp3Pp1/1kq3nr/3p4/8/Q1N5/PPP5/1K1R1R2 w - - acn 9244665; acs 23; bm Nxd5+; ce 32754; dm 7; pv Nxd5+ Kb5 Nc7+ Kb6 Nxa8+ Kb5 Rf5+ Ne5 Rxe5+ Qd5 Rexd5+ Kc6 Rc5#;
r7/pk5p/1p6/nN3Qp1/2P2b2/1P1P2PR/P1KNrP2/5q2 w - - acn 147564; acs 1; bm Rxh7+; ce 32754; dm 7; pv Rxh7+ Re7 Rxe7+ Ka6 Nd6 Qc1+ Kxc1 Nxb3+ axb3 Bxd2+ Kd1 g4 Qb5#;
r7/pb2q2p/1p4k1/2p5/4p1NP/1P2P3/PQ4P1/5RK1 w - - acn 6350348; acs 13; bm Ne5+; ce 32754; dm 7; pv Ne5+ Kh6 Nf7+ Qxf7 Rxf7 Rg8 Qf6+ Rg6 Qf4+ Kh5 Rxh7+ Rh6 Rxh6#;
r7/p6p/1b2Q3/5p2/3k1P2/8/q2r2PP/3RR2K w - - acn 902586; acs 2; bm Qxa2; ce 32754; dm 7; pv Qxa2 Ba5 Rxd2+ Bxd2 Qxd2+ Kc4 Rc1+ Kb3 Rc3+ Kb4 Qb2+ Ka4 Ra3#;
r7/p2q1pk1/2ppr3/5Q2/2PPp3/B4p2/P4P1K/R6R b - - acn 195503; acs 0; bm Rh6+; ce 32754; dm 7; pv Rh6+ Kg1 Rxh1+ Kxh1 Rh8+ Kg1 Qxf5 Bxd6 Rh1+ Kxh1 Qh3+ Bh2 Qg2#;
r7/p1p3Pk/3bp3/6K1/1p1PP1Q1/1Ppq4/P4PR1/8 w - - acn 283094; acs 1; bm Kf6; ce 32754; dm 7; pv Kf6 Qxd4+ Kf7 Qf6+ Kxf6 Be7+ Kxe6 Bg5 Kf7 Rf8+ gxf8=Q c2 Qg7#;
r7/nR4p1/3P4/kpN5/P7/B7/8/6K1 w - - acn 1624504; acs 4; bm Kh2; ce 32754; dm 7; pv Kh2 Rh8+ Kg3 Ra8 Kh4 Rh8+ Kg5 Rh5+ Kxh5 g6+ Kg5 b4 Bxb4#;
r7/kp2p3/p3P3/KP3p2/1p6/2p4q/P1Q5/1r2B3 w - - acn 62469; acs 0; bm Qf2+; ce 32754; dm 7; pv Qf2+ Kb8 Qf4+ Kc8 b6 Kd8 Qd4+ Ke8 Qg7 Qg3 Qf7+ Kd8 Qf8#;
r7/k5N1/8/1P6/6p1/3r4/2K5/6n1 b - - acn 2862100; acs 6; bm Rd5 Rf3; ce 32754; dm 7; pv Rf3 b6+ Kxb6 Nf5 Ra2+ Kb1 Rff2 Nd6 Rfb2+ Kc1 Ne2+ Kd1 Rb1#;
r7/NQ2p2b/8/2p2pP1/4qp1n/2N2kpK/3p2p1/6B1 w - - acn 1566489; acs 8; bm Qb3; ce 32754; dm 7; pv Qb3 Qe2 Qf7 Bg6 Qd5+ Qe4 Qb3 Qe2 Qb7+ Qe4 Nc6 e6 Ne5#;
r7/7p/4NR1P/r2p2Pk/3Rp1p1/6P1/6B1/n5K1 w - - acn 5775542; acs 11; bm Rf5; ce 32754; dm 7; pv Rf5 Kg6 Bxe4 dxe4 Rf6+ Kh5 Rd2 Ra2 Rf5 Kg6 Nf4+ Kxf5 Rd5#;
r7/6Rp/8/5N1k/r7/8/R1PPP1Pb/n6K w - - acn 2559776; acs 8; bm Ra3; ce 32754; dm 7; pv Ra3 Nb3 Rxb3 Ra1+ Kxh2 Rh1+ Kxh1 Ra1+ Kh2 Rh1+ Kxh1 h6 g4#;
r7/5pRk/4p3/3p1p2/1p1P1P1q/1P2QR2/7r/5K2 b - - acn 170681; acs 0; bm Kh6 Kxg7; ce 32754; dm 7; pv Kxg7 Rg3+ Kh7 Rg7+ Kxg7 Qg3+ Qg4 Qxg4+ fxg4 Kg1 g3 f5 Ra1#;
r7/5p1p/2pp1k1p/1p2pP2/1P2P3/r2P1P2/1K5P/5B2 b - - acn 2395837; acs 4; bm Ra2+; ce 32754; dm 7; pv Ra2+ Kb1 Rxh2 f4 Rg8 fxe5+ dxe5 d4 Rg1 dxe5+ Kxe5 f6 Rxf1#;
r7/5B1p/5B1k/8/RPPP4/8/5PPK/8 w - - acn 3460245; acs 7; bm g4; ce 32754; dm 7; pv g4 Ra5 b5 Rxb5 c5 Rxc5 d5 Rxd5 g5+ Rxg5 Rh4+ Rh5 Rxh5#;
r7/4n3/1Q2bk2/p2p3r/P2P1q2/2P2P2/1K4R1/1B4R1 w - - acn 833168; acs 2; bm Rg6+; ce 32754; dm 7; pv Rg6+ Nxg6 Rxg6+ Ke7 Qxe6+ Kd8 Rg8+ Qf8 Rxf8+ Kc7 Rf7+ Kd8 Qd7#;
r7/3PQp1p/p5pk/1q2B3/1p6/5b1P/1P4P1/7K w - - acn 166199; acs 0; bm Qh4+; ce 32754; dm 7; pv Qh4+ Bh5 Qf4+ g5 Qf6+ Bg6 Qg7+ Kh5 g4+ Kh4 Qh6+ Bh5 Qxh5#;
r7/3P4/8/8/7P/5k2/p4p1K/2R5 b - - acn 94527; acs 0; bm a1=Q; ce 32754; dm 7; pv a1=Q d8=Q Qe5+ Kh1 Qe1+ Kh2 f1=N+ Kh1 Ng3+ Kh2 Qe2+ Kh3 Qg2#;
r7/3KQ3/8/2RN4/k2r4/pp6/8/6q1 w - - acn 19638; acs 0; bm Ra5+; ce 32754; dm 7; pv Ra5+ Kxa5 Qc5+ Ka4 Qc6+ Ka5 Qxa8+ Kb5 Qc6+ Ka5 Qb6+ Ka4 Qa6#;
r7/2b1qr2/2p2p1k/p1Pppp2/Pp1P1N1P/5P2/PBBQ4/2K3R1 w - - acn 27594789; acs 55; bm Ne6+ Nxd5+; ce 32754; dm 7; pv Nxd5+ f4 Nxe7 Rg7 Nf5+ Kh7 Rxg7+ Kh8 Qg2 e4 Rh7+ Kxh7 Qg7#;
r7/1p6/p7/k1P3Q1/p1K3p1/p2pP1p1/2p4q/1nr5 b - - acn 5215791; acs 12; bm Rf1; ce 32754; dm 7; pv Rf1 c6+ b5+ Kd4 d2 Qf5 d1=Q+ Qd3 Qxd3+ Kxd3 Qd2+ Ke4 Re8#;
r7/1p4kp/3N1rp1/8/q7/1n6/p4PPP/Q1RR2K1 w - - acn 986775; acs 3; bm Rc7+; ce 32754; dm 7; pv Rc7+ Kh6 Qxf6 Ra5 Nf7+ Kh5 Ne5 Qd7 Rcxd7 Rxe5 Rxh7+ Kg4 h3#;
r7/1p3kp1/2p2p2/B1Rn4/P2Pr3/1P1NPp2/2R2P2/6K1 b - - acn 1002997; acs 3; bm Rh8; ce 32754; dm 7; pv Rh8 Nf4 Nxf4 exf4 Rxf4 Bc7 Rfh4 Bh2 Rxh2 Rh5 R2xh5 d5 Rh1#;
r7/1bq3p1/pp1b3p/3P1P2/k6B/P1P4P/1P2Q1P1/3R2K1 w - - acn 938278; acs 3; bm Qc2+; ce 32754; dm 7; pv Qc2+ Ka5 b4+ Bxb4 cxb4+ Kb5 a4+ Kxb4 Be1+ Qc3 Qxc3+ Kxa4 Qb4#;
r7/1b6/pp1nNNpk/8/3p3q/8/PP4P1/1Q3RK1 w - - acn 7992254; acs 14; bm Qc1+; ce 32754; dm 7; pv Qc1+ g5 Qc7 Qh1+ Kxh1 Bxg2+ Kxg2 Ra7 Qxa7 Nb7 Qxb7 g4 Qh7#;
r6r/q4p1p/p1k1pp2/2b5/2Q2B2/2P5/P1P2PPP/1R4K1 w - - acn 3828502; acs 12; bm Qa4+; ce 32754; dm 7; pv Qa4+ Kd5 Rd1+ Bd4 Rxd4+ Qxd4 Qxd4+ Kc6 Qd6+ Kb5 a4+ Ka5 Qb4#;
r6r/pp2bkp1/2p3p1/3p2Pn/6Q1/2NN4/PPP4P/R5K1 w - - acn 2340600; acs 10; bm Ne5+; ce 32754; dm 7; pv Ne5+ Ke8 Qd7+ Kf8 Qe6 Bc5+ Kf1 Ng3+ Ke1 Bf2+ Kd1 d4 Nxg6#;
r6r/pp1Q2pp/2p1R3/6k1/8/2q5/P1P2PPP/R5K1 w - - acn 14156612; acs 33; bm f4+; ce 32754; dm 7; pv f4+ Kh5 Qd1+ Kh4 g3+ Qxg3+ hxg3+ Kxg3 Qh5 h6 Rf1 g6 Re3#;
r6r/p2q1k2/1pn2p2/4p3/3Pp2B/2P5/PP1QNPKp/R3R3 b - - acn 18293531; acs 37; bm Qg4+; ce 32754; dm 7; pv Qg4+ Ng3 Qf3+ Kxh2 Rxh4+ Kg1 Rg8 Qg5 Rxg5 Kf1 Rxg3 d5 Rh1#;
r6r/p2p4/6n1/8/6p1/4B2p/7R/3B1k1K w - - acn 5561172; acs 10; bm Be2+; ce 32754; dm 7; pv Be2+ Ke1 Bb5 Rhc8 Rb2 Rc4 Bxc4 Rb8 Rxb8 Kd1 Bd3 h2 Rb1#;
r6r/p2np1bp/b4kp1/q1p5/3PQ3/2p1B3/P3NPPP/2R1K2R w K - acn 2030756; acs 6; bm Bg5+; ce 32754; dm 7; pv Bg5+ Kf7 Qxe7+ Kg8 Qe6+ Kf8 Be7+ Ke8 Bf6+ Kf8 Qe7+ Kg8 Qxg7#;
r6r/p2n2Q1/4k2p/1pp1P3/P1p2P1q/2N5/1P2K2P/R7 w - - acn 806300; acs 2; bm f5+; ce 32754; dm 7; pv f5+ Kxf5 Rf1+ Qf4 Qf7+ Nf6 Qxf6+ Kg4 Rxf4+ Kh3 Rh4+ Kg2 Qf1#;
r6r/p1P4p/8/3b4/7K/1Q5p/NpN4p/1k6 w - - acn 891166; acs 3; bm Qd3; ce 32754; dm 7; pv Qd3 h1=Q Nc3+ Kc1 Ne2+ Kb1 Nb4+ Ka1 Qa6+ Kb1 Nc3+ Kc1 Qh6#;
r6r/k7/8/7p/2RK4/8/8/2R5 w - - acn 94791; acs 0; bm Ra1+; ce 32754; dm 7; pv Ra1+ Kb6 Rb1+ Ka5 Rc5+ Ka6 Rc6+ Ka7 Rc7+ Ka6 Kc5 h4 Ra1#;
r6r/k2P4/pp4R1/5B2/2P4p/1P5P/P2b4/4R2K w - - acn 6911135; acs 18; bm d8=Q; ce 32754; dm 7; pv d8=Q Raxd8 Rg7+ Rd7 Rxd7+ Ka8 Ree7 Kb8 Rb7+ Ka8 Ra7+ Kb8 Reb7#;
r6r/6pk/7p/p2Qp3/1b1P4/3qP2P/1K3P2/2R3R1 w - - acn 68207; acs 0; bm Rxg7+; ce 32754; dm 7; pv Rxg7+ Kxg7 Rc7+ Be7 Rxe7+ Kg6 Qe6+ Kg5 f4+ exf4 exf4+ Kh5 Qg4#;
r6r/4B3/1P4Pp/p2BkNnP/2P3K1/1N1p1pp1/2b2P2/3q4 w - - acn 1274351; acs 4; bm Bc5; ce 32754; dm 7; pv Bc5 Ne6 Ba3 Qb1 Bd6+ Kf6 Nc5 Nxc5 Be7+ Ke5 Nd4 g2 Nxf3#;
r6r/3n1k1p/p3p1p1/1p1qP3/1P1NN2Q/P7/2P3PP/4R2K w - - acn 13713645; acs 31; bm Rf1+; ce 32754; dm 7; pv Rf1+ Ke8 Nd6+ Qxd6 exd6 g5 Qxg5 Nf6 Qxf6 Ra7 Qxe6+ Re7 Qxe7#;
r6r/3B4/pP4P1/PnNkB2p/1K3P2/1pp1p1N1/2P2b2/4q3 w - - acn 1264723; acs 4; bm Bf5; ce 32754; dm 7; pv Bf5 Nd6 Bh3 Qg1 Be6+ Kc6 Nf5 Nxf5 Bd7+ Kd5 Ne4 h4 Nxc3#;
r6r/1Q1qk3/p2ppp1p/1p6/8/1P6/1PP2PPP/2KRR3 w - - acn 3141313; acs 8; bm Rxe6+; ce 32754; dm 7; pv Rxe6+ Kxe6 Re1+ Kf7 Qxd7+ Kf8 Re7 h5 Rf7+ Kg8 Rg7+ Kf8 Qe7#;
r6k/ppp1b1p1/7p/3p4/3nP1QP/3P4/PPq3P1/R1B1K2R b - - acn 27011339; acs 57; bm Rf8; ce 32754; dm 7; pv Rf8 Bd2 Qxd3 Rc1 Bxh4+ g3 Bxg3+ Kd1 Rf1+ Rxf1 Qxf1+ Be1 Qxe1#;
r6k/pp6/2pp3p/2P5/3Pp3/PB4q1/1P6/4RR1K b - - acn 2676144; acs 5; bm Qh3+ d5; ce 32754; dm 7; pv Qh3+ Kg1 d5 Bxd5 cxd5 Re3 Rg8+ Kf2 Rg2+ Ke1 Qxe3+ Kd1 Qd2#;
