rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
rn3k2/1R6/5N2/p5b1/1P1PP3/2P3Bp/5K2/2B2B2 w - - acn 1; acs 0; bm Bd6#; ce 32766; dm 1; pv Bd6#;
rn3k1r/q2pnp1p/B1p1p3/2pP2p1/K4bPP/PP2PN2/1RP2P2/2BQ3R b - - acn 1; acs 0; bm Qxa6#; ce 32766; dm 1; pv Qxa6#;
rn3k1r/ppQ1nppb/8/2p1p3/2PP2pq/B1N2P2/P4RB1/2RQK3 w - - acn 1; acs 0; bm Qd8#; ce 32766; dm 1; pv Qd8#;
rn3k1r/pp4b1/4Q1p1/6Pp/2BPp3/4P3/PP1B1K2/R6R w - - acn 2; acs 0; bm Bb4# Qf7#; ce 32766; dm 1; pv Bb4#;
rn3k1r/pp3ppp/2p2Nq1/b4n2/2p5/P7/1P2QPPP/R1BR2K1 w - - acn 1; acs 0; bm Qe8#; ce 32766; dm 1; pv Qe8#;
rn3k1r/pp1Pppbp/3p4/1Pp3np/2P5/P4PPP/3P2R1/RNBQK3 w Q - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
rn3k1r/pbpp1Bbp/1p4pN/4P1B1/3n4/2q3Q1/PPP2PPP/2KR3R b - - acn 1; acs 0; bm Qxc2#; ce 32766; dm 1; pv Qxc2#;
rn3k1r/pb1pnpqp/1Q1b3B/1pp5/2B1P1pP/1PN2P2/P1P3P1/R3K1NR w KQ - acn 1; acs 0; bm Qd8#; ce 32766; dm 1; pv Qd8#;
rn3k1r/p4pbp/2pP3n/2p2QP1/4p2P/PP1P2K1/2P5/RNB1R3 w - - acn 1; acs 0; bm Qc8#; ce 32766; dm 1; pv Qc8#;
rn3k1r/p2b1pbp/1p6/3PpQpq/1pPP2n1/N2K3N/P2BBP2/R6R b - - acn 1; acs 0; bm Bxf5#; ce 32766; dm 1; pv Bxf5#;
rn3k1r/p1p2p1p/b2p1P2/6b1/PP2N3/1P1P2Pq/1R2P2n/2BQKBNR b - - acn 1; acs 0; bm Qxf1#; ce 32766; dm 1; pv Qxf1#;
rn3k1r/8/2p5/pp1p1bp1/1PPn1PP1/1P2B2N/2q5/1R2K2R b - - acn 1; acs 0; bm Qe2#; ce 32766; dm 1; pv Qe2#;
rn3k1r/7p/4bnp1/pppp4/PP2p1P1/q1P1pP2/4PR2/2R1KB2 b - - acn 1; acs 0; bm Qxc1#; ce 32766; dm 1; pv Qxc1#;
rn3k1r/7p/4QnPR/p1p2PP1/6b1/p2R4/3P1P2/1N2KB2 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
rn3k1r/5p1p/b3pR2/pp1pP1PQ/1p1B1P2/N7/P1PP2P1/1R2KB2 w - d6 acn 1; acs 0; bm Qxf7#; ce 32766; dm 1; pv Qxf7#;
rn3k1r/4p1bp/pP1pPpp1/1p4P1/RP3P1P/2Q1B2N/2P1P3/4Kn1b w - - acn 1; acs 0; bm Qc8#; ce 32766; dm 1; pv Qc8#;
rn3k1r/3bpp2/pP4pn/2pp2Np/1Pq2P2/2P1P1PB/3P3b/1RBQK2R b K - acn 1; acs 0; bm Bxg3#; ce 32766; dm 1; pv Bxg3#;
rn3k1r/3Qpp1B/1P5p/2pp4/pR1P4/p1b3PN/P1P2q1P/2BK3R w - - acn 1; acs 0; bm Bxh6#; ce 32766; dm 1; pv Bxh6#;
rn3k1r/2pp2R1/b4n1B/2bPpp1Q/pp5P/1PP5/P2P1PP1/R3KBN1 w Q - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
rn3k1r/2p5/p1b2PPp/2N2P2/1b1p4/P2P2n1/2P5/2BKR1q1 b - - acn 2; acs 0; bm Bf3# Qxe1#; ce 32766; dm 1; pv Bf3#;
rn3k1r/1p1b1qp1/2pb4/B3p2p/P1P1PP2/P5K1/4P1PP/RN3BNR b - - acn 1; acs 0; bm Qxf4#; ce 32766; dm 1; pv Qxf4#;
rn3k1r/1bpp1p2/4p1p1/5QNp/1p1b1Pn1/PPP3P1/RB2N3/4KB1R w K - acn 1; acs 0; bm Qxf7#; ce 32766; dm 1; pv Qxf7#;
rn3k1r/1b1pbp1p/B1p3p1/P6n/1P2PPP1/N3q2P/PQ1P4/RNB2K1R w - - acn 1; acs 0; bm Qxh8#; ce 32766; dm 1; pv Qxh8#;
rn3k1n/8/3p2BP/pp6/P4p2/5q1p/2PPrN1R/2BK4 b - - acn 6; acs 0; bm Re3# Re4# Re5# Re6# Re7# Re8#; ce 32766; dm 1; pv Re3#;
rn3k1B/3b4/1Pp2b2/q2p3p/4R2N/1p1PP2P/1Q6/1RK2B2 b - - acn 1; acs 0; bm Qe1#; ce 32766; dm 1; pv Qe1#;
rn3brq/p2p1pp1/b1pP1k2/1N2p2p/1P2Q1P1/Bn2P2N/P1P1BP1P/1R2K2R w K - acn 2; acs 0; bm Qf5#; ce 32766; dm 1; pv Qf5#;
rn3br1/q2p2k1/8/1p2N1p1/nP2pp1P/P1NbB2p/R4KB1/Q7 b - - acn 1; acs 0; bm Qxe3#; ce 32766; dm 1; pv Qxe3#;
rn3br1/ppp5/2b2pp1/3p1k2/3PpPnp/PPP1P1RB/1B1NN2P/1R2K3 w - - acn 1; acs 0; bm Bxg4#; ce 32766; dm 1; pv Bxg4#;
rn3br1/ppp2ppp/3k3n/1P1p1bq1/2PP3P/2r5/PK1QP3/R4B1R b - - acn 1; acs 0; bm Qxd2#; ce 32766; dm 1; pv Qxd2#;
rn3br1/pb1p1ppp/1PP3kn/4p3/3NPQ2/2p5/1P3PPP/RNB1KB1R w - - acn 1; acs 0; bm Qg5#; ce 32766; dm 1; pv Qg5#;
rn3br1/pB4R1/3k2p1/2p3Qp/2P4P/4N1P1/q3PP2/2B1K1NR w - - acn 2; acs 0; bm Qd5# Qf6#; ce 32766; dm 1; pv Qd5#;
rn3br1/p2bk2p/1p1p1pp1/2q1p3/1PB1K2P/P1P1PP2/Q5P1/RNB3Nn b - - acn 1; acs 0; bm Bf5#; ce 32766; dm 1; pv Bf5#;
rn3br1/p1p2Pp1/b3k2p/P3p3/1p2K1nP/1P1P1P1N/3P4/RNB1R3 b - - acn 1; acs 0; bm Bb7#; ce 32766; dm 1; pv Bb7#;
rn3br1/p1p1p1pp/1p1k4/1P6/P3nPpP/1R1b1q2/N2BB3/4K2R b K - acn 2; acs 0; bm Qxe2#; ce 32766; dm 1; pv Qxe2#;
rn3br1/p1k1p2p/2N4n/1Pp3p1/2Pp2bP/1P2q3/3PPPB1/R1B1K3 b Q - acn 1; acs 0; bm Qxe2#; ce 32766; dm 1; pv Qxe2#;
rn3br1/p1B2kpp/b4n2/1pPp1p2/1Q3PP1/q2P3P/4PR2/RN2KBN1 b Q - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
rn3br1/N7/1p2p1p1/2kbq1P1/1p1pPp1P/PQ4RB/2P5/R2K2N1 w - - acn 1; acs 0; bm Qxb4#; ce 32766; dm 1; pv Qxb4#;
rn3br1/6pp/2p1p3/p3kpPN/Q7/N2pP3/P3R2n/2BRKB2 w - - acn 1; acs 0; bm Qd4#; ce 32766; dm 1; pv Qd4#;
rn3br1/4pk1n/q1Q3p1/p4p1N/P1NPb2p/2K1P1P1/1P2BP1P/R1B2R2 w - - acn 1; acs 0; bm Ne5#; ce 32766; dm 1; pv Ne5#;
rn3br1/2p1p1pN/b6p/p2p1k2/3P2nP/1PN1P2B/pP2QP2/R2KB1R1 w - - acn 1; acs 0; bm Qxg4#; ce 32766; dm 1; pv Qxg4#;
rn3br1/2kb1p2/2pn4/pP2K1pp/PP5P/2pPPNP1/7R/2BRQB2 b - - acn 1; acs 0; bm Bg7#; ce 32766; dm 1; pv Bg7#;
rn3br1/1p1k1p1p/p2p2p1/Q1p1P3/P1Pq4/1PBP1K1b/N3P1nP/R4B2 b - - acn 2; acs 0; bm Qe3# Qf4#; ce 32766; dm 1; pv Qe3#;
rn3br1/1bp3pk/3ppqn1/p1PP1Q2/Pp3NPp/4BP1P/1P2PR2/1R2KBN1 w - - acn 1; acs 0; bm Qh5#; ce 32766; dm 1; pv Qh5#;
rn3br1/1b2p3/7p/ppp1k1p1/Pq2PN2/BQ2P2p/3P3P/R3R2K w - - acn 1; acs 0; bm Qe6#; ce 32766; dm 1; pv Qe6#;
rn3br1/1b2p1pP/p1p2kq1/1p3p1P/1P2PPn1/P1P5/B2P3R/RNB1QKN1 w - - acn 1; acs 0; bm hxg8=N#; ce 32766; dm 1; pv hxg8=N#;
rn3bqr/2pp2kp/p4p2/Pp1PQnpP/1PP3N1/B4p1b/3NP3/4KB1R w K - acn 1; acs 0; bm Qxf6#; ce 32766; dm 1; pv Qxf6#;
rn3bnr/ppp2kpp/5p2/1B1p1b2/1q6/5N2/PPPP1PPP/RNBQR1K1 w - - acn 2; acs 0; bm Be8#; ce 32766; dm 1; pv Be8#;
rn3bnr/ppp1pppp/7q/3p4/kP1PPPb1/N4N2/P1P4P/R1BQKB1R w - - acn 1; acs 0; bm c3#; ce 32766; dm 1; pv c3#;
rn3bnr/pp3pp1/q2p1k2/2p1p2P/P3K1b1/2PPPP1P/1PQ5/RN3BNR b - - acn 1; acs 0; bm Qc6#; ce 32766; dm 1; pv Qc6#;
rn3bnr/pp3kpp/3p4/2p1pb2/5p1q/P1NP1PPP/1PPBPK2/R3QBNR b - - acn 1; acs 0; bm Qxg3#; ce 32766; dm 1; pv Qxg3#;
rn3bnr/pp2pkp1/8/2p2p1p/P3q3/BP1p1N1b/N3PP1P/R3KR2 b - - acn 1; acs 0; bm Qxe2#; ce 32766; dm 1; pv Qxe2#;
rn3bnr/pp2pkp1/2p5/q2p1b1p/2PP1PP1/N7/PP2P1BP/R1K1B1NR b - - acn 1; acs 0; bm Qxe1#; ce 32766; dm 1; pv Qxe1#;
rn3bnr/pp2pk2/1q2bppp/1N3P2/2BpP1Q1/2P5/PP1P2PP/1RB1K1NR w K - acn 1; acs 0; bm Qxg6#; ce 32766; dm 1; pv Qxg6#;
rn3bnr/pk2p2p/qPpQ1p2/6p1/1P4P1/5P1B/b1NPP2P/2BK2NR w - - acn 1; acs 0; bm Qc7#; ce 32766; dm 1; pv Qc7#;
rn3bnr/pbpk1ppp/8/1p1ppP2/1PP4q/B4K2/P2PP1PP/RN1Q1BNR b - - acn 2; acs 0; bm Qf4#; ce 32766; dm 1; pv Qf4#;
rn3bnr/pbp1qppp/RN3k2/1p5P/5PB1/1PNppKP1/PBPPP3/3Q3R w - - acn 3; acs 0; bm Nbd5# Ncd5# Ne4#; ce 32766; dm 1; pv Ncd5#;
rn3bnr/pB1k3q/2b1p1p1/3PKp2/Q1Pp1P2/4B2N/1P6/RN5R b - - acn 2; acs 0; bm Bg7# Qg7#; ce 32766; dm 1; pv Bg7#;
rn3bnr/p5q1/b2p1p1p/2pNk2P/P1p1P3/1PP2P1Q/3PN1R1/1RB1K3 w - - acn 1; acs 0; bm Qf5#; ce 32766; dm 1; pv Qf5#;
rn3bnr/p4p1p/b1p1pq2/1p1p2p1/P2kPPP1/BP5P/2PP1K2/RN2QBNR w - - acn 4; acs 0; bm Nf3# Qe3# c3#; ce 32766; dm 1; pv c3#;
rn3bnr/p3p3/Ppp2p1p/2N1k3/3q2Q1/1P1BPp2/1BPP4/RN1b1R1K w - - acn 2; acs 0; bm Qe6# Qxd4#; ce 32766; dm 1; pv Qxd4#;
rn3bnr/p3p1pp/P1qpk3/1pp2p2/1PP3QP/4PR2/R2P1PP1/1NB1KBN1 w - - acn 1; acs 0; bm Qxf5#; ce 32766; dm 1; pv Qxf5#;
rn3bnr/p3k1p1/q1p4p/3Ppp2/PP1PbPP1/2K4B/RP5P/1NB3N1 b - - acn 1; acs 0; bm Qd3#; ce 32766; dm 1; pv Qd3#;
rn3bnr/p2pk3/P1p1p3/2P2p1p/1p1N1p1P/1P1bP1PN/2B3K1/R1B1qQ1R b - - acn 1; acs 0; bm Qxg3#; ce 32766; dm 1; pv Qxg3#;
rn3bnr/p2bpqpp/5p2/1pPp4/2P2NPk/P3PP1N/1P2K2P/R1BQ1B1R w - - acn 2; acs 0; bm Qe1#; ce 32766; dm 1; pv Qe1#;
rn3bnr/p2Q1p1p/b7/1p1p2p1/1P2qk1P/N7/PBP1BPP1/1R2K1NR w K - acn 3; acs 0; bm Nh3# Qg4# g3#; ce 32766; dm 1; pv g3#;
rn3bnr/p1q4p/b1p5/P2ppppP/1p4k1/1PNP2PR/1RPBPP2/1Q2KBN1 w - g6 acn 1; acs 0; bm f3#; ce 32766; dm 1; pv f3#;
rn3bnr/p1pkpp1p/3p2p1/1p1P4/1PP2P2/7q/P2NP1bP/1RBQKBNR b K - acn 1; acs 0; bm Qh4#; ce 32766; dm 1; pv Qh4#;
rn3bnr/6p1/4N1k1/pN4qp/3PKp1P/1Pp2P2/RB4B1/5R2 b - - acn 1; acs 0; bm Qf5#; ce 32766; dm 1; pv Qf5#;
rn3bnr/5bpp/p4pk1/1pp3P1/2PP1R2/1Pq4P/PB1N4/R2K1nN1 b - - acn 1; acs 0; bm Qxd2#; ce 32766; dm 1; pv Qxd2#;
rn3bnr/4pp1k/b2qQ1p1/p1pp1N1p/P1P5/3KP1PN/3P1P1P/1RB2BR1 w - - acn 1; acs 0; bm Ng5#; ce 32766; dm 1; pv Ng5#;
rn3bnr/3qp1k1/2b1R1p1/1ppp3p/pPNPPPQP/6PN/P1P5/R1B1KB2 w - - acn 1; acs 0; bm Qxg6#; ce 32766; dm 1; pv Qxg6#;
rn3bnr/3q1kpp/b7/p1ppp1KP/2p1PN2/P1Q2PP1/1P1P4/RNB2B1R b - - acn 1; acs 0; bm Be7#; ce 32766; dm 1; pv Be7#;
rn3bnr/3kpppp/6b1/p2P4/p1p5/N2PPP1P/PPK3BR/1RB1q1N1 b - - acn 2; acs 0; bm Bxd3# cxd3#; ce 32766; dm 1; pv cxd3#;
rn3bnr/2qpp3/ppb3pp/3Pk3/1PB1p2P/P1N2R2/QBP1KPPN/5R2 w - - acn 1; acs 0; bm Nb5#; ce 32766; dm 1; pv Nb5#;
rn3bnr/2p2kp1/B3pp2/P7/1pq3P1/R3Pb1p/3P1P1P/1NB1K1NR b - - acn 1; acs 0; bm Qxc1#; ce 32766; dm 1; pv Qxc1#;
rn3bnr/2p1kp1p/3p4/p3pQp1/1q1P4/4KP1N/PP2P1PP/R1B2B1R b - - acn 1; acs 0; bm Qxd4#; ce 32766; dm 1; pv Qxd4#;
rn3bnr/2k2pq1/p1p1p2N/1p5P/1P3p1P/8/P1PPPK1R/R1B1QBN1 b - - acn 1; acs 0; bm Qg3#; ce 32766; dm 1; pv Qg3#;
rn3bnr/2Q3p1/p3k1bp/P3P2P/1p2P1P1/pPp5/2P5/4KBN1 w - - acn 1; acs 0; bm Bc4#; ce 32766; dm 1; pv Bc4#;
rn3bnr/1ppBpq2/p2p1p1p/4k3/1PP3pP/B2PPP2/P1Q3P1/RN2K1NR w - - acn 5; acs 0; bm Bb2# Qb2# Qc3# d4# f4#; ce 32766; dm 1; pv f4#;
rn3bnr/1pp1p1p1/5k2/pq1p1p1p/PN2P3/1PP3P1/3P1PbP/2BQKBNR b K - acn 1; acs 0; bm Qxf1#; ce 32766; dm 1; pv Qxf1#;
rn3bnr/1pp1kp2/7p/pb5P/P2Q4/2PqPpP1/1P3PB1/RNB1K2R b KQ - acn 1; acs 0; bm Qe2#; ce 32766; dm 1; pv Qe2#;
rn3bnr/1p3p2/B2pbk2/4pPpp/3qP3/P1P2NP1/1Bq4P/4K2R b K - acn 4; acs 0; bm Qcd1# Qcf2# Qdd1# Qdf2#; ce 32766; dm 1; pv Qdd1#;
rn3bnr/1p2k3/b4p1p/p1pQ1Ppq/P1PR2P1/1P6/1B1PP3/R3KBN1 w Q - acn 2; acs 0; bm Qe6# Re4#; ce 32766; dm 1; pv Re4#;
rn3bnr/1b1q2pp/2p1pk2/ppP1pp1Q/1P1P3P/P4PP1/8/RNB1KBNR w KQ - acn 1; acs 0; bm Bg5#; ce 32766; dm 1; pv Bg5#;
rn3bnB/1b1k3p/p1p1p1p1/1p1p4/P4pP1/RP5P/2PqPPB1/1N1Q1KNR b - - acn 1; acs 0; bm Qxd1#; ce 32766; dm 1; pv Qxd1#;
rn3bn1/pp1kp1p1/1qpp1Q2/5P1p/PP2r3/4P3/3N1KPP/RbB2BNR b - - acn 1; acs 0; bm Qxe3#; ce 32766; dm 1; pv Qxe3#;
rn3bn1/pb1ppk1r/5p1p/1pPP2QP/4P1PR/B2P4/P2N1P2/R3KBN1 w Q - acn 1; acs 0; bm Qg6#; ce 32766; dm 1; pv Qg6#;
rn3bn1/p2p2p1/b6B/2p1p3/1Pq1k3/P3Ppq1/2PP1P2/2RK4 b - - acn 3; acs 0; bm Qe2# Qf1# Qg1#; ce 32766; dm 1; pv Qg1#;
rn3bn1/p2bp1pB/4kp2/1N6/2p3qr/1PP5/3P1PPP/1RB2KNR b - - acn 1; acs 0; bm Qd1#; ce 32766; dm 1; pv Qd1#;
rn3bn1/N2pkq1r/ppp5/5p1p/P2K1p1P/1QPB4/RP1PP3/2B2N1R b - - acn 1; acs 0; bm Bg7#; ce 32766; dm 1; pv Bg7#;
rn3bn1/6pr/b5kp/pppp2N1/P3p3/1PQPPB1P/R1P1RPPq/1NB2K2 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
rn3bn1/2p3pr/1p1p2k1/p3Ppqp/B2P1P1P/P1P1Rb2/RP1Q4/1N2K1N1 b - - acn 1; acs 0; bm Qxg1#; ce 32766; dm 1; pv Qxg1#;
rn3bn1/1pp1kpr1/3p2pp/pb1K1pP1/P7/1PqP1N2/R3P2P/2Q2BNR b - - acn 3; acs 0; bm Bc6# c6#; ce 32766; dm 1; pv c6#;
rn3bn1/1p2pk1r/4b1pp/p2p1pQP/N1pPP3/1q2B1PB/P1P1NP2/2R1KR2 w - - acn 1; acs 0; bm Qxg6#; ce 32766; dm 1; pv Qxg6#;
rn3bn1/1b4pr/1p2qp2/p3p3/Pk2P1Pp/1PN5/R1PP1PKP/2B3NR w - - acn 1; acs 0; bm Ba3#; ce 32766; dm 1; pv Ba3#;
rn3bn1/1b1N1k2/6p1/1pp3K1/P1P3P1/1p1P1Pqp/4Q2P/B2R3R b - - acn 1; acs 0; bm Bh6#; ce 32766; dm 1; pv Bh6#;
rn3bkr/ppp4p/3Pb2B/4p2n/2BP4/4K1p1/PPP3q1/RN1Q4 w - - acn 1; acs 0; bm Bxe6#; ce 32766; dm 1; pv Bxe6#;
rn3bkr/ppp4p/3Pb2B/4p2n/2BP4/3K2p1/PPP3q1/RN1Q4 w - - acn 1; acs 0; bm Bxe6#; ce 32766; dm 1; pv Bxe6#;
rn3bkr/p3p1pp/1p2bp2/3pQ3/2PpP1n1/4q3/PP1B1PPP/RN1B1KNR b - - acn 1; acs 0; bm Qxf2#; ce 32766; dm 1; pv Qxf2#;
rn3bkr/1p4N1/2P3p1/pP1b3p/5p1n/3Pp3/4R3/3BK1Nq b - - acn 1; acs 0; bm Qxg1#; ce 32766; dm 1; pv Qxg1#;
rn3bk1/4p3/p2R2r1/5p1p/1p2P2P/8/3q4/1K6 b - - acn 1; acs 0; bm Rg1#; ce 32766; dm 1; pv Rg1#;
rn3bbr/p2pk3/1P1N2p1/2p5/1P4Pp/2PPP3/1R2BP1q/1QB2K1R b - - acn 1; acs 0; bm Qxh1#; ce 32766; dm 1; pv Qxh1#;
rn3bbr/p1k1p2p/B2p1p1n/Pp2P2Q/1R3PpP/2Pqp3/1P1N2PN/3K3R b - - acn 1; acs 0; bm Qxd2#; ce 32766; dm 1; pv Qxd2#;
rn3bBr/1p1bp1pp/1PQ5/4kp2/7P/p5P1/P1PPNPq1/1RB1K1n1 w - - acn 2; acs 0; bm d4# f4#; ce 32766; dm 1; pv f4#;
rn3b2/qp5r/1nbpP3/p1k2Bpp/Q1P5/N2PP2P/P4P2/R1B1K1NR w K - acn 1; acs 0; bm d4#; ce 32766; dm 1; pv d4#;
rn3b2/qb4r1/p2pp2k/6n1/PpP1PN1p/1P3Pp1/5NP1/R1B1KB1R w - - acn 1; acs 0; bm Rxh4#; ce 32766; dm 1; pv Rxh4#;
rn3b2/q4pp1/p1p1bnkr/4K2p/3P2PP/PP5N/1B2P2R/RN1Q1B2 b - - acn 1; acs 0; bm Qc7#; ce 32766; dm 1; pv Qc7#;
rn3b2/pp3kr1/2Ppb3/1q2pP1p/5BP1/1Q5B/P1P4P/R2NK1NR w - - acn 1; acs 0; bm Qxe6#; ce 32766; dm 1; pv Qxe6#;
rn3b2/pn6/5Nr1/3p2p1/kBQ4P/3PP1Pb/2R5/6KR w - - acn 1; acs 0; bm Ra2#; ce 32766; dm 1; pv Ra2#;
rn3b2/pb1qpkr1/2p2p1p/3P4/1P1PN1P1/N6K/P1PQ3P/R1B2B1R b - - acn 1; acs 0; bm Qxg4#; ce 32766; dm 1; pv Qxg4#;
rn3b2/pb1pk1p1/2p1p1n1/Bp3p2/PK1P1Pp1/NP5r/2PQP3/4RBN1 b - - acn 4; acs 0; bm Ke8# Kf6# Kf7# Na6#; ce 32766; dm 1; pv Na6#;
rn3b2/pb1k4/3pp1P1/2P5/4qn1N/pP3P1r/3PP1B1/1RB2KR1 b - - acn 1; acs 0; bm Qxe2#; ce 32766; dm 1; pv Qxe2#;
rn3b2/p5pr/8/PB1pppPk/1pP2P1p/1K2Bb1R/RP1N1P2/6N1 b - - acn 1; acs 0; bm Bd1#; ce 32766; dm 1; pv Bd1#;
rn3b2/p4k1r/3P2np/2P2p2/PB2PpQ1/1p1P1N1B/1qR1K3/1N4R1 w - - acn 1; acs 0; bm Qxg6#; ce 32766; dm 1; pv Qxg6#;
rn3b2/p3pPB1/Bpk1P3/R1r3Np/b2P2nP/2P5/3K4/6q1 b - - acn 2; acs 0; bm Qd1# Qe3#; ce 32766; dm 1; pv Qd1#;
rn3b2/p3p3/P2p3B/7P/PPP4P/3k1P1b/2R1NK2/6rR w - - acn 1; acs 0; bm Rc3#; ce 32766; dm 1; pv Rc3#;
rn3b2/p3p1p1/1p4Q1/P1pk1n2/2b2P2/RP1pP3/1B1KN2r/1N5R w - - acn 1; acs 0; bm Nbc3#; ce 32766; dm 1; pv Nbc3#;
rn3b2/p3k2N/P2nb3/1p2PpPp/qB4r1/1pP1p2B/4PP2/2K1Q2R b - - acn 1; acs 0; bm Qa1#; ce 32766; dm 1; pv Qa1#;
rn3b2/p2p4/2bk2p1/2pPp1PB/2P1P3/1PQ5/1B1K1PP1/6r1 w - - acn 1; acs 0; bm Qxe5#; ce 32766; dm 1; pv Qxe5#;
rn3b2/p2p2p1/2p2r2/1b2P3/1PP1PPkn/B5PR/5R2/4KNN1 w - - acn 1; acs 0; bm Rxh4#; ce 32766; dm 1; pv Rxh4#;
rn3b2/p2k1p1p/2p4n/1p1p3P/PP1P3K/8/2P1P3/RNB2brR b - - acn 2; acs 0; bm Nf5# Rg4#; ce 32766; dm 1; pv Nf5#;
rn3b2/p1q1r3/bBpk1p2/4pP2/1PP1P3/P5Rp/RQ1P3K/8 w - - acn 1; acs 0; bm Rd3#; ce 32766; dm 1; pv Rd3#;
rn3b2/p1N1kppr/3R3n/4PP1p/QP4P1/P2b1PR1/6NP/2B1K3 w - - acn 3; acs 0; bm Nd5# Qe8#; ce 32766; dm 1; pv Nd5#;
rn3b2/Q2bqr2/p1k2np1/Pp1ppP2/1P5p/B1P1KP1P/1RP3PR/1N3B2 w - - acn 1; acs 0; bm Qb6#; ce 32766; dm 1; pv Qb6#;
rn3b2/B3p1p1/P7/2p1P3/5p2/k1K5/7P/4Rb2 w - - acn 1; acs 0; bm Ra1#; ce 32766; dm 1; pv Ra1#;
rn3b2/8/q2P4/pk2Kp1r/2p1B1PP/1P3N2/P5R1/NQ2R2b b - - acn 1; acs 0; bm Qxd6#; ce 32766; dm 1; pv Qxd6#;
rn3b2/8/4Bp2/p1p3pp/p1P4k/2R2P1P/3NQ2R/2B1K3 w - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
rn3b2/6p1/p7/2p1RK2/1Pk1nQp1/2P4P/1pBP4/RN6 w - - acn 2; acs 0; bm Na3# Qf1#; ce 32766; dm 1; pv Na3#;
rn3b2/6k1/5p1r/6pp/b3P3/P4qPP/4N2K/RN5R b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
rn3b2/6Q1/p2pk3/P3Bb1p/2P2n1r/1P2p3/2R3P1/RN1K4 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
rn3b2/5r1q/pP1p2k1/P5Pp/1R6/2N1p2b/1Q1RP3/1N2K3 b - - acn 1; acs 0; bm Rf1#; ce 32766; dm 1; pv Rf1#;
rn3b2/5kpr/pQ3p1p/2pPp3/P1b2P2/1PN5/3Pn2P/RBBK3R w - - acn 1; acs 0; bm Qe6#; ce 32766; dm 1; pv Qe6#;
rn3b2/4rp2/1P2k2p/p1PpP1P1/P7/N2B4/R2P2bP/BQ2K1nR w - - acn 1; acs 0; bm Bf5#; ce 32766; dm 1; pv Bf5#;
rn3b2/4pk2/4N2n/2pp1P1p/7P/P2K4/2r2N2/3b4 b - - acn 1; acs 0; bm Rxa3#; ce 32766; dm 1; pv Rxa3#;
rn3b2/4p2r/3pk1pp/1p6/2PQP1qP/BP1PK3/n2NB1b1/R4R2 w - - acn 2; acs 0; bm Bxg4#; ce 32766; dm 1; pv Bxg4#;
rn3b2/4Q3/B5k1/BPP1P3/P4P2/5RpR/7r/4KbN1 w - - acn 4; acs 0; bm Qf6# Qh7# f5#; ce 32766; dm 1; pv f5#;
rn3b2/3k4/b1p2p1p/3Pp2P/pp2KP1P/Rp6/6Rq/1N6 b - - acn 1; acs 0; bm Qxf4#; ce 32766; dm 1; pv Qxf4#;
rn3b2/3k2p1/8/2p3Np/p1PP1P1P/p3q3/4PR2/4KB2 b - - acn 1; acs 0; bm Qc1#; ce 32766; dm 1; pv Qc1#;
rn3b2/2q1pp2/p2p1npr/P6p/1kPPbP1P/R6N/1P3KP1/2BQ1BR1 w - - acn 6; acs 0; bm Bd2# Qa4# Qb3# Qd2# Qe1# Ra4#; ce 32766; dm 1; pv Bd2#;
rn3b2/2p2k2/1p2b3/1p1pPpr1/P1Pn3p/6RP/NB4PK/4q3 b - - acn 1; acs 0; bm hxg3#; ce 32766; dm 1; pv hxg3#;
rn3b2/2p1q1r1/2P2kp1/1b1B1p1p/pp1P1PP1/P2P4/1P1B3P/RN3KNR w - - acn 1; acs 0; bm g5#; ce 32766; dm 1; pv g5#;
rn3b2/2k1pr2/2p1b3/3p2Pp/p1N3n1/PPBP2P1/7q/1Q1RK1N1 b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
rn3b2/2k1ppp1/p1Pr4/P1n5/1pR3bp/1PP1PNPP/2qBKP2/4RB2 b - - acn 3; acs 0; bm Qxd2# Rxd2#; ce 32766; dm 1; pv Rxd2#;
rn3b2/2R2n2/3p1k1p/4p3/2P1P3/3rP3/1K6/3q4 b - - acn 1; acs 0; bm Rb3#; ce 32766; dm 1; pv Rb3#;
rn3b2/1r3p2/2bk4/3P1p2/P1PPQPPp/K1P4P/4N3/5BNR b - - acn 1; acs 0; bm Rxa4#; ce 32766; dm 1; pv Rxa4#;
rn3b2/1p2p1p1/pPB5/P1k1Pp2/3r4/1R2K2p/1p1P4/1N3q2 b - - acn 1; acs 0; bm f4#; ce 32766; dm 1; pv f4#;
